product_id,product_type,product_name,attrs_indexes_dict,battery_type,color,compatible_card,designed_for,display_type,features,graphic_memory,lens_cap_type,lens_mount,lens_type,memory_technology,mount_type,number_of_cores,operating_system,os_architecture,ports,prime_zoom,processor_brand,processor_generation,processor_name,processor_type,ram,sensor_type,shape,ssd_capacity,storage_type,system_memory,system_memory_type,type,video_quality,video_resolution
120167252,all_in_one_pc,"HP HP Slim S01-pF0308il Desktop (9th Gen i3-9100/4GB/1TB HDD/DOS/Integrated Graphics), Jet Black","{u'color': (91, 96), u'processor_name': (41, 43), u'system_memory': (49, 52), u'operating_system': (61, 64)}",,Black,,,,,,,,,,,,Free DOS,,,,Intel,,Core i3,,,,,,,4 GB,,,,
125492949,all_in_one_pc,RDP Desktop (Celeron/4GB/500GB/DOS) + 19 inch Monitor  --  desktop + monitor combo,"{u'processor_name': (13, 20), u'system_memory': (21, 24), u'operating_system': (31, 34)}",,,,,,,,,,,,,,Free DOS,,,,Intel (extracted from unorganised specs),,Intel Celeron,,,,,,,4 GB,,,,
113854632,all_in_one_pc,Lenovo V520 Slim Tower(10NNA016IH) Gen7 B250 I5-7400 3.0G 4C/ 1TB/ 4GB DDR4/1TB/No ODD/No OS/No Wifi+BT/ 85%Efficiency/19.5Monitor,"{u'processor_name': (45, 47), u'system_memory': (67, 70), u'operating_system': (87, 92)}",,,,,,,,,,,,,,No OS,,,,,,Core i5,,,,,,,4 GB,,,,
7404004,all_in_one_pc,Dell AIO 3010 19.5-inch Desktop PC (Black),"{u'color': (36, 41)}",,Black,,,,,,,,,,,,Ubuntu,,,,AMD,,,,,,,,,2 GB,,,,
28303456,all_in_one_pc,S-VOICE for LCD Screen Hinges Set (L+R) for Dell Inspiron 15 5558 5555 Vostro 15 3558 Series (Non-Touch) P/N NFXF5-KDFVW,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103938454,all_in_one_pc,Lenovo V520 Slim Tower(10NNA01UIG) Gen7 B250 I5-7400 3.0G 4C/ 1TB/ 4GB DDR4/1TB/No ODD/Win 10 PRO/No Wifi+BT/ 85%Efficiency/19.5Monitor,"{u'processor_name': (45, 47), u'system_memory': (67, 70)}",,,,,,,,,,,,,,Windows 10,,,,,,Core i5,,,,,,,4 GB,,,,
131365490,all_in_one_pc,"HP Slim SO1-aD0102il Desktop (Quad Core J5005/4GB/1TB/DOS/Integrated Graphics), Jet Black","{u'color': (84, 89), u'system_memory': (46, 49), u'operating_system': (54, 57)}",,Black,,,,,,,,,,,,Free DOS,,,,Intel,,,,,,,,,4 GB,,,,
7890020,all_in_one_pc,Gomukhi Market Forecum10 One for One/Forecum10F One for Two Home Household Smart GMA1370,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131113816,all_in_one_pc,"HP 290 290-p0017in Desktop (8th Gen i3 8100/4GB/1TB/Windows 10, Home/Integrated Graphics), Dark Black","{u'color': (96, 101), u'processor_name': (36, 38), u'system_memory': (44, 47), u'operating_system': (52, 59)}",,Black,,,,,,,,,,,,Windows 10,,,,Intel,,Core i3,,,,,,,4 GB,,,,
131029351,all_in_one_pc,"HP M01 M01-F0101in Desktop (RYZEN R3 3200G/8GB/1TB/Windows 10, Home/Microsoft Office 2019), Jet Black","{u'color': (96, 101), u'system_memory': (43, 46), u'operating_system': (51, 58)}",,Black,,,,,,,,,,,,Windows 10,,,,AMD,,,,,,,,,8 GB,,,,
70482875,all_in_one_pc,Acer All in One PC,{},,,,,,,,,,,,,,Free DOS,,,,Intel,,Core i3,,,,,,,4 GB,,,,
127707697,all_in_one_pc,"HP M01 M01-F0302in Desktop (9th Gen i5 9400/4GB/1TB/Windows 10, Home/Microsoft Office 2019), Jet Black","{u'color': (97, 102), u'processor_name': (36, 38), u'system_memory': (44, 47), u'operating_system': (52, 59)}",,Black,,,,,,,,,,,,Windows 10,,,,Intel,,Core i5,,,,,,,4 GB,,,,
13250210,all_in_one_pc,"Lenovo AIO 300 [F0CL001GIN] CDC 6TH/4GB/500GB/DVD/DOS/WIRED/19.5""","{u'system_memory': (36, 39), u'operating_system': (50, 53)}",,,,,,,,,,,,,,Free DOS,,,,,,Intel Celeron (extracted from unorganised specs),,,,,,,4 GB,,,,
101130763,all_in_one_pc,"HP 290 290-p0067in Desktop (8th Gen i5 8400/4GB/1TB/Windows 10, Home/Integrated Graphics), Dark Black","{u'color': (96, 101), u'processor_name': (36, 38), u'system_memory': (44, 47), u'operating_system': (52, 59)}",,Black,,,,,,,,,,,,Windows 10,,,,Intel,,Core i5,,,,,,,4 GB,,,,
18389270,all_in_one_pc,"DELL Inspiron 3464, 2017 24 ""All-In-One i5 7th Gen -7200U 2.5GHz/ 4 GB/ 1 TB/ Win10 SL /Licence Office Home and Student 2016/ 24 "" (Black)","{u'color': (132, 137), u'processor_name': (40, 42), u'system_memory': (66, 70)}",,Black,,,,,,,,,,,,Windows,,,,Intel,,Core i5,,,,,,,4 GB,,,,
76722502,all_in_one_pc,Dell OptiPlex AIO 5260/ci3 8100/4GB/1TB/21.5 FHD/Ubuntu,"{u'system_memory': (32, 35), u'operating_system': (49, 55)}",,,,,,,,,,,,,,Free DOS,,,,Intel,,Core i3,,,,,,,4 GB,,,,
132546753,all_in_one_pc,"HP S01 Slim SO1-pF0311in Desktop (9th Gen i5 9400/4GB/1TB/Windows 10, Home/Integrated Graphics), Jet Black","{u'color': (101, 106), u'processor_name': (42, 44), u'system_memory': (50, 53), u'operating_system': (58, 65)}",,Black,,,,,,,,,,,,Windows 10,,,,Intel,,Core i5,,,,,,,4 GB,,,,
128882180,all_in_one_pc,"HP Pavilion 590-p0056in Desktop (8th Gen i5-8400/8GB/2TB/Windows 10, Home/Integrated Graphics), Ash Silver","{u'color': (100, 106), u'processor_name': (41, 43), u'system_memory': (49, 52), u'operating_system': (57, 64)}",,Silver,,,,,,,,,,,,Windows 10,,,,Intel,,Core i5,,,,,,,8 GB,,,,
7602930,all_in_one_pc,Dell A261101UIN8 18.5-inch All-in-One Desktop (i3-7100/4GB/1TB/Ubuntu/Integrated Graphics),"{u'processor_name': (47, 49), u'system_memory': (55, 58), u'operating_system': (63, 69)}",,,,,,,,,,,,,,Ubuntu,,,,Intel (extracted from unorganised specs),,Core i3,,,,,,,4 GB,,,,
9312553,all_in_one_pc,"Lenovo AIO 330 F0D70019IN 19.5-inch All-in-One Desktop (J4005/4GB/1TB/Windows 10 Home/Integrated Graphics), Black","{u'color': (108, 113), u'system_memory': (62, 65), u'operating_system': (70, 77)}",,Black,,,,,,,,,,,,Windows 10,,,,Intel,,Intel Celeron,,,,,,,4 GB,,,,
112167974,all_in_one_pc,"HP All-in-One PC 20-c406il Desktop (Celeron J4005/4GB/1TB HDD/DOS/Intel UHD 600 Graphics), Jet Black","{u'color': (95, 100), u'processor_name': (36, 43), u'system_memory': (50, 53), u'operating_system': (62, 65), u'processor_brand': (66, 71)}",,Black,,,,,,,,,,,,Free DOS,,,,Intel,,Intel Celeron,,,,,,,4 GB,,,,
105398801,all_in_one_pc,"HP 200 G3 21.5"" Anti-Glare Full HD Business All in One PC (Pentium Quad Core / 4GB RAM / 1TB HDD/Win 10 Home), Black, 5JP74PA","{u'color': (111, 116), u'processor_name': (59, 76), u'system_memory': (79, 82), u'features': (27, 34)}",,Black,,,,Full HD,,,,,,,,Windows,,,,Intel,,Intel Pentium,,,,,,,4 GB,,,,
105398825,all_in_one_pc,"HP AIO 22-C0135IN 9th Generation Corei3-9100T,4GB RAM,1TB HDD,21.5 FHD Windows 10 All in One Desktop PC","{u'system_memory': (46, 49), u'operating_system': (71, 78)}",,,,,,,,,,,,,,Windows,,,,Intel,,Core i3,,,,,,,4 GB,,,,
21644777,all_in_one_pc,"Lenovo AIO300-20ISH F0BV003TIN 20-inch All-in-One Desktop (6th Gen i3-6100T/4GB/1TB/Windows 10 Home/Integrated Graphics), Black","{u'color': (122, 127), u'processor_name': (67, 69), u'system_memory': (76, 79), u'operating_system': (84, 91)}",,Black,,,,,,,,,,,,Windows 10,,,,Intel,,Core i3,,,,,,,4 GB,,,,
84297931,all_in_one_pc,"HP Pavilion P046IN 24-inch All-in-One Desktop (Quad-Core A-Series/1GB/2TB/Windows 10 Home/Integrated Graphics), Black","{u'color': (112, 117), u'system_memory': (66, 69), u'operating_system': (74, 81)}",,Black,,,,,,,,,,,,Windows 10,,,,AMD,,,,,,,,,8 GB,,,,
7766196,all_in_one_pc,OptiPlex AIO 3050 i5-7500T/4 GB/500 GB/Win 10 Pro/19.5 Inches/DVD RW/3 Yrs/Wifi All in 1 PC (AG41),"{u'processor_name': (18, 20), u'system_memory': (27, 31)}",,,,,,,,,,,,,,Windows 10,,,,Intel (extracted from unorganised specs),,Core i5,,,,,,,4 GB,,,,
103103897,all_in_one_pc,DELL AIO 3052 Desktop (Pentium J3710/4GB/1TB/Ubuntu/Integrated Graphics),"{u'system_memory': (37, 40), u'operating_system': (45, 51)}",,,,,,,,,,,,,,Ubuntu,,,,Intel,,,,,,,,,4 GB,,,,
32793767,all_in_one_pc,"Lenovo 310 20IAP AIO 19.5-inch All-in-One Desktop (Pentium Quad Core J4205/4GB/1TB/DOS/Integrated Graphics), Black  --  pentium quad core - dos","{u'color': (109, 114), u'processor_name': (51, 68), u'system_memory': (75, 78), u'operating_system': (83, 86)}",,Black,,,,,,,,,,,,Free DOS,,,,Intel,,Intel Pentium,,,,,,,4 GB,,,,
34729385,all_in_one_pc,"HP AIO - 22 - c0019il - Pavilion 2018 21.5-inch All-in-One Desktop (8th Gen i3-8130U/4GB/1TB/Free DOS 2.0/Integrated Graphics), Snow White","{u'color': (133, 138), u'processor_name': (76, 78), u'system_memory': (85, 88), u'operating_system': (98, 101)}",,White,,,,,,,,,,,,Free DOS,,,,Intel,,Core i3,,,,,,,4 GB,,,,
12481760,all_in_one_pc,"HP AIO 20-C102IL 19.5-Inch Screen All-In-One Desktop (Celeron J3060, 4GB DDR3 RAM, 1 TB HDD, DOS, Intel HD Graphics), Black","{u'color': (118, 123), u'processor_name': (54, 61), u'system_memory': (69, 72), u'operating_system': (93, 96), u'processor_brand': (98, 103)}",,Black,,,,,,,,,,,,Free DOS,,,,Intel,,Intel Celeron,,,,,,,4 GB,,,,
48918738,all_in_one_pc,"HP AIO 22 - c0020in - Pavilion 2018 21.5-inch All-in-One Desktop (8th Gen i3-8130U/4GB/1TB/Windows 10 Home/Integrated Graphics), Snow White","{u'color': (134, 139), u'processor_name': (74, 76), u'system_memory': (83, 86), u'operating_system': (91, 98)}",,White,,,,,,,,,,,,Windows 10,,,,Intel,,Core i3,,,,,,,4 GB,,,,
137658764,all_in_one_pc,"Dell Inspiron 7790 10thGeneration Corei7-10510U 16GB RAM,1TB+256GB SSD,2GB Graphics Windows 10 27"" FHD All in One Desktop","{u'graphic_memory': (48, 52), u'system_memory': (71, 74), u'operating_system': (84, 91)}",,,,,,,2 GB,,,,,,,Windows,,,,Intel,,Core i7,,,,,,,16 GB,,,,
120145969,all_in_one_pc,"Dell Inspiron 7790 10thGeneration Corei7-10510U 16GB RAM,1TB+256GB SSD,2GB Graphics Windows 10 27"" FHD All in One Desktop","{u'graphic_memory': (48, 52), u'system_memory': (71, 74), u'operating_system': (84, 91)}",,,,,,,2 GB,,,,,,,Windows,,,,Intel,,Core i7,,,,,,,2 GB,,,,
7499037,all_in_one_pc,"Lenovo C2000 19.5-inch All In One Desktop (F0BB00YDIN,CPU J3060/4GB/1TB/Dos), Black","{u'color': (78, 83), u'system_memory': (64, 67), u'operating_system': (72, 75)}",,Black,,,,,,,,,,,,Free DOS,,,,,,,,,,,,,4 GB,,,,
8032642,all_in_one_pc,"Acer Aspire Z1-612 19.5-inch All-in-One Desktop (Pentium J3710/4GB/1TB/Windows 10 Home/Integrated Graphics), White","{u'color': (109, 114), u'system_memory': (63, 66), u'operating_system': (71, 78)}",,White,,,,,,,,,,,,Windows 10,,,,Intel,,,,,,,,,4 GB,,,,
125214394,all_in_one_pc,UROBOARD UroMini UroAio-23 21.5-inch All-in-One Touch Desktop (Secure/UroPaper 4.0/500GB/Intel Quad core/4GB/FullHD/Touch Gurranty) Black,"{u'color': (132, 137), u'processor_brand': (89, 94), u'system_memory': (105, 108)}",,Black,,,,,,,,,,,,,,,,Intel,,Core M (extracted from unorganised specs),,,,,,,4 GB,,,,
125214822,all_in_one_pc,"HP AIO 22–b411in 21.45-inch All-in-One Desktop (7th Gen i3 7100u/8GB/1TB HDD/Windows 10/Intel UHD 620 Graphics), Jet Black","{u'color': (117, 122), u'processor_name': (56, 58), u'system_memory': (65, 68), u'operating_system': (77, 84), u'processor_brand': (88, 93)}",,Black,,,,,,,,,,,,Windows 10,,,,Intel,,Core i3,,,,,,,8 GB,,,,
125215147,all_in_one_pc,LEED PC Computer - 21.5inch/ HM65 i3/DDR3 4GB/HDD 500GB/ Integrated Graphics All in One PC Desktop (White),"{u'color': (100, 105), u'processor_name': (34, 36), u'system_memory': (42, 45)}",,White,,,,,,,,,,,,Windows,,,,Intel,,Core i3,,,,,,,4 GB,,,,
80002404,all_in_one_pc,"HP AIO - 20 - c419in - Pavilion 2018 19.45-inch All-in-One Desktop (Pentium Silver J5005/4GB/1TB/Windows 10 Home/Integrated Graphics), Jet Black","{u'color': (76, 82), u'system_memory': (89, 92), u'operating_system': (97, 104)}",,Silver,,,,,,,,,,,,Windows 10,,,,Intel,,,,,,,,,4 GB,,,,
128510550,all_in_one_pc,HP AIO Pentium Silver 21.5-inch FHD (4GB/1TB HDD/Windows 10/Snon White /5.39kg) 22-c0125in,"{u'color': (15, 21), u'system_memory': (37, 40), u'operating_system': (49, 56)}",,White,,,,,,,,,,,,Windows 10,,,,Intel,,,,,,,,,4 GB,,,,
120135785,all_in_one_pc,"HP AIO 22 - c0012in - Pavilion 2018 21.5-inch All-in-One Desktop (8th Gen i3-8100T/4GB/1TB/Windows 10 Home/Integrated Graphics), Jet Black","{u'color': (133, 138), u'processor_name': (74, 76), u'system_memory': (83, 86), u'operating_system': (91, 98)}",,Black,,,,,,,,,,,,Windows 10,,,,Intel,,Core i3,,,,,,,4 GB,,,,
91774482,all_in_one_pc,HP Pavilion All-in-One 24-qb0051in Desktop PC (Intel® Core™ i5-8400T Processor | 8GB RAM | 1TB HDD | Windows 10 Home | NVIDIA® GeForce® MX130 4GB GDDR5 Dedicated Graphics) - White,"{u'color': (174, 179), u'processor_name': (60, 62), u'system_memory': (142, 145), u'operating_system': (101, 108), u'processor_brand': (119, 125)}",,White,,,,,,,,,,,,Windows 10,,,,Intel,,Core i5,,,,,,,8 GB,,,,
76729844,all_in_one_pc,Dell OptiPlex AIO 5260/ci5 8400/4GB/1TB/21.5 FHD/Windows 10 Pro,"{u'system_memory': (32, 35), u'operating_system': (49, 56)}",,,,,,,,,,,,,,Windows 10,,,,Intel,,Core i5,,,,,,,4 GB,,,,
133199852,all_in_one_pc,HP 20-C421il 19.45-inch All-in-One Desktop,{},,,,,,,,,,,,,,Free DOS,,,,AMD,,,,,,,,,4 GB,,,,
111525345,all_in_one_pc,"HP Pentium Silver 21.5-inch FHD AIO PC(4GB/1TB HDD/Windows 10/MS Office/Jet Black/5.39kg),22-c0005in","{u'color': (11, 17), u'system_memory': (39, 42), u'operating_system': (51, 58)}",,Black,,,,,,,,,,,,Windows 10,,,,Intel,,,,,,,,,4 GB,,,,
137656732,all_in_one_pc,"Lenovo V530 11BGS09200 2019 19.5-inch All-in-One Desktop (9th gen i3-9100/4GB/1TB HDD/Windows 10 Professional/Intel UHD 610 Graphics), Black","{u'color': (135, 140), u'processor_name': (66, 68), u'system_memory': (74, 77), u'operating_system': (86, 93), u'processor_brand': (110, 115)}",,Black,,,,,,,,,,,,Windows 10,,,,Intel,,Core i3,,,,,,,4 GB,,,,
7655344,all_in_one_pc,HP AIO 22–b412in 21.45-inch All-in-One Desktop (7th Gen i3 7100u/8GB/1TB HDD/Windows 10/Microsoft Office 2019)  --  white,"{u'color': (116, 121), u'processor_name': (56, 58), u'system_memory': (65, 68), u'operating_system': (77, 84)}",,White,,,,,,,,,,,,Windows 10,,,,Intel,,Core i3,,,,,,,4 GB,,,,
103098058,all_in_one_pc,"HP Pavilion 20-c416il 19.5-inch Full HD All-in-One Desktop (Celeron J4005/4GB/1 TB/DOS/Wireless Keyboard & Mouse), Black","{u'color': (115, 120), u'processor_name': (60, 67), u'system_memory': (74, 77), u'operating_system': (83, 86), u'features': (32, 39)}",,Black,,,,Full HD,,,,,,,,Free DOS,,,,Intel,,Intel Celeron,,,,,,,4 GB,,,,
91738610,all_in_one_pc,HP All-in-One - 20-c435in (4YS41AA),{},,,,,,,,,,,,,,Windows,,,,Intel,,Core i3,,,,,,,4 GB,,,,
120139950,all_in_one_pc,"Lenovo V330z-10ULS01W00 8thGen Corei3-8100 4GB RAM,1TB HDD,Windows 10 Professional 19.5"" All in One PC Desktop","{u'system_memory': (43, 46), u'operating_system': (59, 66)}",,,,,,,,,,,,,,Windows,,,,Intel,,Core i3,,,,,,,4 GB,,,,
21646602,all_in_one_pc,Lenovo 310S-08IAP Desktop (J4205/4GB/1TB/DOS/Integrated Graphics),"{u'system_memory': (33, 36), u'operating_system': (41, 44)}",,Black,,,,,,,,,,,,Free DOS,,,,Intel,,,,,,,,,4 GB,,,,
103093274,all_in_one_pc,"Lenovo AIO 330 F0D7001AIN 19.5-inch All-in-One Desktop (J4005/4GB/1TB/DOS/Integrated Graphics), Black + Lenovo F309 USB3.0 1TB External Hard Disk, Grey  --  desktop + 1tb external hard drive","{u'color': (147, 151), u'system_memory': (62, 65), u'operating_system': (70, 73)}",,Grey,,,,,,,,,,,,Free DOS,,,,Intel,,Intel Celeron,,,,,,,4 GB,,,,
103093281,all_in_one_pc,"Lenovo AIO 330 F0D7001AIN 19.5-inch All-in-One Desktop (J4005/4GB/1TB/DOS/Integrated Graphics), Black","{u'color': (96, 101), u'system_memory': (62, 65), u'operating_system': (70, 73)}",,Black,,,,,,,,,,,,Free DOS,,,,Intel,,Intel Celeron,,,,,,,4 GB,,,,
117293890,all_in_one_pc,"Dell Inspiron 3275 A9-9425 22"" AIO 4GB RAM,1TB HDD,Windows 10+MS Office 21.5"" Display All in one Desktop PC","{u'system_memory': (35, 38), u'operating_system': (51, 58)}",,,,,,,,,,,,,,Windows,,,,AMD,,,,,,,,,8 GB,,,,
120136741,all_in_one_pc,"HP Pavilion 27-QB0084IN 9thGeneration Corei7-9700T 16GB RAM,2TB+256GB SSD 2GB Graphics Windows 10 27"" Touch Screen All in One Desktop PC","{u'graphic_memory': (51, 55), u'system_memory': (74, 77), u'operating_system': (87, 94)}",,,,,,,2 GB,,,,,,,Windows,,,,Intel,,Core i7,,,,,,,16 GB,,,,
103098118,all_in_one_pc,"HP Pavilion 20-c416il 19.5-inch Full HD All-in-One Desktop (Celeron J4005/4GB/1 TB/DOS/Wireless Keyboard & Mouse), Black + B07DNQHPND  --  desktop + 1tb external hard drive","{u'color': (115, 120), u'processor_name': (60, 67), u'system_memory': (74, 77), u'operating_system': (83, 86), u'features': (32, 39)}",,Black,,,,Full HD,,,,,,,,Free DOS,,,,Intel,,Intel Celeron,,,,,,,4 GB,,,,
103104298,all_in_one_pc,"HP 20-c417in AIO 2018 19.5-inch All-in-One Desktop (Celeron J4005/4GB/1TB/Windows 10/Integrated Graphics), Black + B0108805H6  --  jet black - desktop + 1tb external hard drive","{u'color': (107, 112), u'processor_name': (52, 59), u'system_memory': (66, 69), u'operating_system': (74, 81)}",,Black,,,,,,,,,,,,Windows 10,,,,Intel (extracted from unorganised specs),,Intel Celeron,,,,,,,4 GB,,,,
96813537,all_in_one_pc,"ASUS Vivo AiO V222UAK-BA224T 21.5-inch FHD All-in-One Desktop (Intel® Pentium™ 4405U/4GB RAM/1TB HDD/Windows 10/Integrated Graphics/4.8 kg), Black","{u'color': (141, 146), u'processor_brand': (63, 68), u'system_memory': (85, 88), u'operating_system': (101, 108)}",,Black,,,,,,,,,,,,Windows 10,,,,Intel,,,,,,,,,4 GB,,,,
7315441,all_in_one_pc,"Acer IC 6404 18.5-inch All-in-one Desktop (6th Gen,Corei3,G6100/UX.B1JSI.561/4Gb/1TB/Free Dos)","{u'system_memory': (77, 80), u'operating_system': (90, 93)}",,,,,,,,,,,,,,Free DOS,,,,,,Core i3,,,,,,,4 GB,,,,
