product_id,product_name,product_type,operating_system,processor_brand,processor_name,dedicated_graphic_memory_capacity,system_memory,system_memory_type,description,attrs_indexes_dict,overlaps
104992504,HP 14q cs0018TU 2019 14-inch Thin and Light Laptop + HP Express Laptop Bag  --  laptop + bag,laptop,Windows 10,Intel,,,4 GB,DDR4,"; Pattern name:; Laptop + Bag; ; ; ; HP 14 Pentium Gold 14-inch Thin and Light Laptop (4GB/256GB SSD/Windows 10 Home/Jet Black/1.47 kg), 14q-cs0018TU; Responsive and reliable performance. A laptop with the power to surf, stream, and do so much more with the latest processors and graphics options. Plus extensive quality testing ensures that you can keep going and going. Sleek, stylish, portable. A sleek and stylish design makes this eye-catching laptop easy to take anywhere. With its beautiful brushed keyboard and color-matched hinge, the smartly designed HP 14-inch laptop looks as good as it performs. Stay connected and entertained.; HP Express 27 ltrs 15.6-inch Laptop Backpack (Black); This Backpack Is Made Of Durable, Heavy-Duty Polyster fabric which weighs only 500 gm and fits utp 15.6 laptop.;",{},[]
128503470,Acer Nitro 7 Laptop + Nitro Backpack,laptop,Windows 10,Intel,Core i7,6 GB,8 GB,,"; Pattern name:; Laptop + Nitro Backpack; ; ; ; Acer Nitro 7 AN715-51 15.6-inch Notebook (9th Gen Intel Core i7 9750H Processor/8GB/1TB SSD /Windows 10 Home 64-bit/6 Graphics), Obsidian Black; Enjoy premium gaming experience with our latest Nitro 7 Series of Notebooks. It is as attractive to play on as it is to look at. It gives you complete control of your game with the best quality graphics along with a fast SSD which comes pre-loaded with this product. In terms of its look, touch and feel, this series of notebooks have gone beyond expectations. The texture along with the display quality is one that every gamer craves for. The audio quality supported by 'Waves Maxx Audio' along with our in-house Acer TrueHarmony technology, Nitro 7 is all set to create history in the Gaming Notebooks segment . It also features a 15.6-ich FHD IPS display giving gamers attractive visual experience while gaming.; Acer Nitro Bagpack NBG810 - Black; Duty calls. Your pack is ready. Built to take on the environments with plenty of dedicated compartments to stow the heavy, the light, the big and the small, this backpack was made for war. So brandish your gear and suit up.;",{},[]
128503200,Acer Nitro 7 Laptop + Nitro Backpack,laptop,,Intel,,,8 GB,,"Pattern name: Laptop + Nitro Backpack; Acer Nitro 7 AN715-51 15.6"" Full HD IPS Thin and Light Gaming Notebook (Intel Core i5-9300H processor/8GB Ram/1TB SSD/Windows 10 Home 64 bit/6GB of 1660Ti Graphics), Obsidian Black; Enjoy premium gaming experience with our latest Nitro 7 Series of Notebooks. It is as attractive to play on as it is to look at. It gives you complete control of your game with the best quality graphics along with a fast SSD which comes pre-loaded with this product. In terms of its look, touch and feel, this series of notebooks have gone beyond expectations. The texture along with the display quality is one that every gamer craves for. The audio quality supported by 'Waves Maxx Audio' along with our in-house Acer TrueHarmony technology, Nitro 7 is all set to create history in the Gaming Notebooks segment . It also features a 15.6-ich FHD IPS display giving gamers attractive visual experience while gaming; Acer Nitro Bagpack NBG810 - Black; Duty calls. Your pack is ready. Built to take on the environments with plenty of dedicated compartments to stow the heavy, the light, the big and the small, this backpack was made for war. So brandish your gear and suit up.",{},[]
128509359,"ASUS ZenBook Pro Duo UX581GV-H2036T Intel Core i7 9th Gen 15.6"" 4K UHD OLED Touchscreen Laptop (32GB RAM/1TB NVMe SSD/Windows 10/6GB RTX 2060 Graphics Card/2.50 Kg), Celestial Blue  --  with accessory - core i7-9750h 9th gen",laptop,Windows 10,Intel,Core i7,6 GB,32 GB,DDR4,"Size name: with Accessory; | Style name: Core i7-9750H 9th Gen; Take your creativity and productivity to the next level with the groundbreaking ASUS ZenBook Pro Duo. Designed to give you the ultimate edge in workflow efficiency, the unique design features a full-width 4K ASUS ScreenPad Plus that works seamlessly with the main 4K UHD OLED display. It’s never been this easy to harness your full creative power.","{u'processor_name': (42, 49), u'processor_brand': (36, 41), u'system_memory': (129, 132), u'operating_system': (118, 125), u'dedicated_graphic_memory_capacity': (97, 100)}",[]
105064373,Lenovo Ideapad S145 Intel Core I3 8th Gen 15.6-inch FHD Thin and Light Laptop ( 8GB RAM / 1TB HDD / DOS / Black / 1.85 Kg) & B210 Bag Combo  --  laptop + backpack - with 8gb ram,laptop,Free DOS,Intel,Core i3,,8 GB,,"; Style name:; With 8GB RAM; | Pattern name:; Laptop + Backpack; ; ; ; Lenovo GX40Q17225 15.6-inch Casual Laptop Backpack (Black); The Lenovo 15.6"" laptop casual backpack B210 utilizes a water-repellent Fabric and a clean, streamlined design to create a case that's perfectly suited to modern life. It offers an integrated laptop compartment comfortably fits most laptops up to 15.6"", a range of internal pockets for those must-have accessories, and a spacious main compartment for books and other items.;","{u'processor_name': (31, 33), u'processor_brand': (20, 25), u'system_memory': (80, 83), u'operating_system': (100, 103)}",[]
105064369,Lenovo Ideapad S145 Intel Core I3 8th Gen 15.6-inch HD Thin and Light Laptop ( 4GB RAM / 1TB HDD / DOS / Black / 1.85kg ) & B210 Bag Combo  --  laptop + backpack - with 4gb ram,laptop,Free DOS,Intel,Core i3,,4 GB,,"; Style name:; With 4GB RAM; | Pattern name:; Laptop + Backpack; ; ; ; Lenovo GX40Q17225 15.6-inch Casual Laptop Backpack (Black); The Lenovo 15.6"" laptop casual backpack B210 utilizes a water-repellent Fabric and a clean, streamlined design to create a case that's perfectly suited to modern life. It offers an integrated laptop compartment comfortably fits most laptops up to 15.6"", a range of internal pockets for those must-have accessories, and a spacious main compartment for books and other items.;","{u'processor_name': (31, 33), u'processor_brand': (20, 25), u'system_memory': (79, 82), u'operating_system': (99, 102)}",[]
105739065,"ASUS ZenBook Pro Duo UX581 Intel Core i7 9th Gen 15.6"" 4K UHD OLED Touchscreen Laptop (32GB RAM/1TB NVMe SSD/Windows 10/6GB GDDR6 Graphics Card/ScreenPad Plus/Celestial Blue/2.50 Kg), UX581GV-H7201T  --  without accessory - core i7-9750h 9th gen",laptop,Windows 10,Intel,Core i7,6 GB,32 GB,DDR4,"Size name: without Accessory; | Style name: Core i7-9750H 9th Gen; Take your creativity and productivity to the next level with the groundbreaking ASUS ZenBook Pro Duo. Designed to give you the ultimate edge in workflow efficiency, the unique design features a full-width 4K ASUS ScreenPad Plus that works seamlessly with the main 4K UHD OLED display. It’s never been this easy to harness your full creative power.","{u'processor_name': (33, 40), u'processor_brand': (27, 32), u'system_memory': (120, 123), u'operating_system': (109, 116), u'dedicated_graphic_memory_capacity': (88, 91)}",[]
127750708,Acer Nitro 7 Laptop + Nitro Backpack,laptop,Windows 10,Intel,,,8 GB,,"; Pattern name:; Laptop + Nitro Backpack; ; ; ; Acer Nitro 7 AN715-51 15.6"" Full HD IPS Thin and Light Gaming Notebook (Intel Core i5-9300H processor/8GB Ram/1TB SSD/Windows 10 Home 64 bit/6GB of 1660Ti Graphics), Obsidian Black; Enjoy premium gaming experience with our latest Nitro 7 Series of Notebooks. It is as attractive to play on as it is to look at. It gives you complete control of your game with the best quality graphics along with a fast SSD which comes pre-loaded with this product. In terms of its look, touch and feel, this series of notebooks have gone beyond expectations. The texture along with the display quality is one that every gamer craves for. The audio quality supported by 'Waves Maxx Audio' along with our in-house Acer TrueHarmony technology, Nitro 7 is all set to create history in the Gaming Notebooks segment . It also features a 15.6-ich FHD IPS display giving gamers attractive visual experience while gaming.; Acer Nitro Bagpack NBG810 - Black; Duty calls. Your pack is ready. Built to take on the environments with plenty of dedicated compartments to stow the heavy, the light, the big and the small, this backpack was made for war. So brandish your gear and suit up.;",{},[]
7864347,Lenovo ThinkPad 10 Ultrabook Keyboard-US English 4X30E68103,laptop,,,,,,,Lenovo ThinkPad 10 Ultrabook Keyboard-US English 4X30E68103 Keyboards & Keypads.Device Type: Keyboard.Connectivity Type: Cable.Lenovo Ultrabook Keyboard for ThinkPad 10 Tablet,{},[]
102367669,Acer ES1-521 Laptop/1TB/4GB DDR3/Radeon R3 Graphics/DVD-Writer/Linux/Black,laptop,Linux,AMD,,,4 GB,DDR3,"; ; 1 HDMI Port, 3 USB Ports, Audio Line Out, Network (RJ-45), Multi-touch Gesture Touch Pad, Secure Digital (SD) Card Reader;","{u'system_memory_type': (28, 32), u'system_memory': (24, 27), u'operating_system': (63, 68)}",[]
88343438,"Lenovo 2019 Chromebook S330 14"" Thin Light Laptop Computer (MediaTek MTK 8173C 1.70GHz, 4GB RAM, 64GB eMMC, 802.11ac WiFi, Bluetooth 4.1, USB-C, HDMI, Chrome OS)",laptop,Chrome OS,,,,4 GB,DDR3,"; ; Screen Size14 inches Max Screen Resolution1366 x 768 pixels Processor1.7 GHz MediaTek_MT8127 RAM4 GB DDR3L SDRAM Hard Drive64 GB eMMC Graphics Coprocessorintegrated MediaTek Graphics Chipset BrandMediaTek Card DescriptionIntegrated Wireless Type801.11ac, 801.11ac, 801.11ac Number of USB 3.0 Ports1 Average Battery Life (in hours)8.5 hours Brand NameLenovo SeriesChromebook S330 Item model numberChromebook S330 Hardware PlatformPC Operating SystemChrome OS Item Weight6.24 pounds Product Dimensions12.8 x 0.8 x 9.1 inches Item Dimensions L x W x H12.8 x 0.8 x 9.1 inches Processor BrandMediaTek Processor Count2 Computer Memory TypeDDR3 SDRAM Flash Memory Size4.00 Hard Drive InterfaceeSATA Hard Drive Rotational Speed0.01 RPM Optical Drive TypeNone Batteries1 Lithium ion batteries required. (included);","{u'system_memory': (88, 91), u'operating_system': (151, 160)}",[]
35128947,EMiEN 4 Pack Bottom Case Rubber Feet Outer Replacement for Unibody Apple MacBook Pro A1278 A1286 A1297 13' 15' 17' with Bottom Case Screws Set + Screwdriver,laptop,,,,,,,"; ; BRAND : EMiEN, EMiEN 4 Pack Bottom Case Rubber Feet Outer Replacement for Unibody Apple MacBook Pro A1278 A1286 A1297 13' 15' 17' with Bottom Case Screws Set + Screwdriver;",{},[]
77072424,"Bottom Case Screw Set for Apple MacBook Pro A1286 (MC118LL/A, MC371LL/A, MC372LL/A, MC721LL/A, MC723LL/A)",laptop,,,,,,,"; ; Condition: New & Original. Compatible Model: Apple Unibody Macbook Pro 13"" A1278, 15"" A1286 and 17"" A1297 models Product Detail 10 pieces 7 short 3 long…. Compatible models No. : A1278 MB990LL/A, MB991LL/A, MC374LL/A, MC375LL/A, MC700LL/A, MC724LL/A, MD313LL/A, MD314LL/A, MD101LL/A, MD102LL/A, A1286 MB470LL/A, MB471LL/A, MB985LL/A, MB986LL/A, MC026LL/A, MC118LL/A, MC371LL/A, MC372LL/A, MC721LL/A, MC723LL/A, MD103LL/A, MD104LL/A, MD322LL/A, A1297 MB604LL/A, MC024LL/A, MC226LL/A, MC725LL/A, MD311LL/A,;",{},[]
80516748,"BTA 100% POLYCARBONATED Hard Shell for MacBook PRO 15""  --  parrot green",laptop,,,,,,,"; Colour:; Parrot Green; ; ; Feature- 1.)PolyCarbonate Matte Hard Shell For MacBook Pro Retina 15"". 2.)Hard-shell Case features durable,injection-molded construction for excellent notebook coverage and a custom fit. 3.) Good Design protect your new laptop against dust, accidental hard knocks, scrapes and scratches etc. 4.) Dress your MacBook Pro Retina 15"" in vivid and rich color with a matt finish. 5.) The two-piece elegant design adapts to all the ports perfectly and makes it easy to operate all the ports freely The installation of such a case has,no impact upon the radiating hole of the device at the point of rotating axis Utlra - slim profile allows Apple Logo to shine Through Anti Slip rubber feet. 6.) In order to ensure that the case will fit perfectly to your MacBook, please check your MacBook Model Number & series before purchasing. The Model Number (A-xxxx) is printed on the Back cover of the MacBook.;",{},[]
80516778,"BTA 100% POLYCARBONATED Hard Shell for MacBook PRO 15""  --  blue",laptop,,,,,,,"; Colour:; Blue; ; ; Feature- 1.)PolyCarbonate Matte Hard Shell For MacBook Pro Retina 15"". 2.)Hard-shell Case features durable,injection-molded construction for excellent notebook coverage and a custom fit. 3.) Good Design protect your new laptop against dust, accidental hard knocks, scrapes and scratches etc. 4.) Dress your MacBook Pro Retina 15"" in vivid and rich color with a matt finish. 5.) The two-piece elegant design adapts to all the ports perfectly and makes it easy to operate all the ports freely The installation of such a case has,no impact upon the radiating hole of the device at the point of rotating axis Utlra - slim profile allows Apple Logo to shine Through Anti Slip rubber feet. 6.) In order to ensure that the case will fit perfectly to your MacBook, please check your MacBook Model Number & series before purchasing. The Model Number (A-xxxx) is printed on the Back cover of the MacBook.;",{},[]
75503795,"Fugen Bottom Case Screw Set for Apple MacBook Pro 13"" 15'' 17'' inch A1278 A1286 A1297 2009-2012",laptop,,,,,,,"; ; Condition: New & Original. Compatible Model: Apple Unibody Macbook Pro 13"" A1278, 15"" A1286 and 17"" A1297 models Product Detail 10 pieces 7 short 3 long…. Compatible models No. : A1278 MB990LL/A, MB991LL/A, MC374LL/A, MC375LL/A, MC700LL/A, MC724LL/A, MD313LL/A, MD314LL/A, MD101LL/A, MD102LL/A, A1286 MB470LL/A, MB471LL/A, MB985LL/A, MB986LL/A, MC026LL/A, MC118LL/A, MC371LL/A, MC372LL/A, MC721LL/A, MC723LL/A, MD103LL/A, MD104LL/A, MD322LL/A, A1297 MB604LL/A, MC024LL/A, MC226LL/A, MC725LL/A, MD311LL/A,;",{},[]
77077196,SellZone Hinges for Dell Inspiron 1525 1526 Series Laptop Screen Hinge (L & R) Pair Set,laptop,,,,,,,; ; SellZone Hinges for Dell Inspiron 1525 1526 Series Laptop Screen Hinge (L & R) Pair Set;,{},[]
74079260,"HP Chromebook x360 14-14"" FHD Touch - Core i3-8130u - 8GB - 64GB eMMC - White and Blue",laptop,Chrome OS,Intel,Core i3,,8 GB,SDRAM,Summary Screen Size14 inches Max Screen Resolution1920 x 1080 Processor2.2 GHz Intel Core i3 RAM8 GB Hard Drive64 GB emmc Graphics CoprocessorIntel UHD Graphics 620 Chipset Brandintel Card DescriptionIntegrated Wireless Type802.11ac Average Battery Life (in hours)14 hours Other Technical Details Brand NameHP SeriesHP Chromebook Item model number4XU18UA Hardware PlatformPC Operating SystemChrome OS Item Weight2.09 pounds Product Dimensions12.8 x 8.9 x 0.6 inches Item Dimensions L x W x H12.8 x 8.9 x 0.6 inches ColorWhite and Blue Processor BrandIntel Processor Count2 Computer Memory TypeSDRAM Flash Memory Size64 GB Hard Drive InterfaceSolid State Power SourceBattery Powered Batteries1 Lithium Metal batteries required. (included),"{u'processor_name': (43, 45), u'system_memory': (61, 64)}",[]
89006141,Dell XPS 13 9360 -13.3 QHD Touch (Core i7/16GB/512GB SSD/Win 10/Integrated Graphics),laptop,,Intel,Core i7,,16 GB,DDR4,; ; Stunning inside and out. Dell's smallest 33.02cm (13) laptop with captivating Dell Cinema and next-gen Infinity Edge. Featuring an 8th Gen Intel Quad Core processor in a stunning new look.;,"{u'processor_name': (34, 41), u'system_memory': (43, 46), u'dedicated_graphic_memory_capacity': (49, 52)}",[]
131474981,Generic Computer Notebook Case Bag School Pocket for 11inch MacBook Air Pro Blue,laptop,,,,,,,"; ; Condition: new: a brand-new, unused, unopened, undamaged item in its original packaging (where packaging is, to fit: 11'' laptop, color: blue, brand: unbranded/generic;",{},[]
131474994,Generic 2x Shockproof Full Protective Sleeve Case Bag for Macbook Pro 13inch Pink,laptop,,,,,,,"; ; Condition: new: a brand-new, unused, unopened, undamaged item in its original packaging (where packaging is, to fit: 13'' laptop, color: pink, brand: unbranded/generic;",{},[]
122693745,"RAS Frosted Finish Red Case for Macbook Air 13"" for Model A1369 & A1466  --  excellent red - macbook air 13 inch",laptop,,,,,,,"; Size name:; MacBook Air 13 Inch; | Colour:; Excellent Red; ; ; ; RAS introducing this tough shell hard case for Macbook in red colour for stylish protection against scratches, dents, and bumps for your Macbook. Redesigned corner clips hold the case securely onto your 13 inch Macbook Air. This thin and lightweight case is easy to install and take off. Made from polycarbonate material with Apple logo cut out, it is shock absorbent and shatterproof. The anti itp feet keeps your laptop safe and stable. In addition, you can plug in your charger, cable or headset without removing the case.;",{},[]
120103037,HITSAN 2018 sdconnect c5 mb Star diagnose c5 with Laptop i7 ix104 ram 4g ssd 240gb Newest Software v2018.7 Ready to use for 12v 24v,laptop,,,Core i7,,4 GB,,"; Item type: code readers & scan tools; special features: wifi; language: greek, polish, slovenia, russian, dutch, denish, czech, portuguese, norwegian, spanish, swedish, english, korea, german, arabic, italian, japanese, hungarian, finnish, french, turkish, thai; hardware version: new; software version: 2018.07; software update: yes; brand name: rcobd; gift 1: mouse; gift 2: keyboard; sd c5 tablet: xplore ix104 i7, used; sd c5 software version: keep latest; sd c5 software ssd: 240gb win7 64bit; tech support: via teamviewer;;",{},[]
96908041,"HP 15-AU030WM Pavilion Laptop i5-6200U 2.30GHz 8GB RAM 1TB HDD, Touchscreen, Modern Gold",laptop,Windows 10,Intel,Core i5,,8 GB,DDR3,"; ; Screen Size15.6 inches Max Screen Resolution1366 x 768 (HD Touch) Processor2.3 GHz Intel Core i5 RAM8 GB SDRAM DDR4 Hard Drive1 TB HDD 5400 rpm Graphics CoprocessorIntel HD Graphics 520 Chipset Brandintel Card DescriptionIntegrated Wireless Type802.11a, 802.11bgn, Bluetooth Average Battery Life (in hours)7 hours Brand NameHP SeriesHP 15 Touch Item model numberW2L55UA Hardware PlatformPC Operating SystemWindows 10 Item Weight4.73 pounds Product Dimensions15 x 9.6 x 0.9 inches Item Dimensions L x W x H15 x 9.56 x 0.89 inches ColorModern Gold Processor BrandIntel i5-6200U Processor Count2 Computer Memory TypeDDR3 SDRAM Hard Drive InterfaceSerial ATA Hard Drive Rotational Speed5400 RPM Power SourceAC & Battery Batteries1 Lithium ion batteries required.;","{u'processor_name': (30, 32), u'system_memory': (47, 50)}",[]
120159787,SellZone Laptop for Lenovo Ideapad G50-80,laptop,,,,,,,; ; SellZone Replacement Bottom Base Cover For Lenovo Ideapad G50-80;,{},[]
131489305,"Twinscase Macbook Pro 13 inch Cases A1706/A1708 with Free Keyboard Cover(A1706 ),Ultra Thin Anti scratch Dustproof Rubberized Glossy Macbook Case Shell Cover for Macbook Pro 13 Inch (Clear)",laptop,,,,,,,; ; Super Clear See Apple Logo.100% Transparent clear.;,{},[]
7878847,Asus VivoBook Max - F541NA-GO653T 15.6 in Laptop (Intel CDC-N3350/ 4GB/ 1TB/ Intel Integrated GFX/ HD Glare/ Win10/ 1C Silver Gradient),laptop,Windows,Intel,Intel Celeron,,4 GB,,; ; It is powered by Intel CDC-N3350/ 4GB/ 1TB/ Intel Integrated GFX/ HD Glare/ Win10/ 1C and comes in a silver gradient shade.;,"{u'processor_brand': (50, 55), u'system_memory': (67, 70)}",[]
